问题分类,问题内容,期望回答
"信用中国北京-站点身份与导航","信用中国北京这个网站主要提供哪些入口？","应说明这是信用中国北京门户类站点，覆盖首页、信用服务、信用查询、信用动态、政策法规、信用专题和智能问答小京灵等入口，不应答成其他站点。"
"信用中国北京-站点身份与导航","信用中国北京和信用中国全国站是不是同一个？","应说明当前应用面向信用中国北京站点，可涉及全国信用体系信息但回答应以北京站点入口和北京本地服务为准，避免混同全国总站。"
"信用中国北京-站点身份与导航","我要找信用服务入口应该看哪里？","应引导到站点的信用服务栏目，并提示可按公共信用报告、专项信用报告、信用修复、异议申诉等服务类型查找。"
"信用中国北京-站点身份与导航","页面里有没有智能问答？叫什么名字？","应说明站点包含智能问答入口，名称为小京灵或类似信用问答助手，并提示可用于信用服务和政策咨询。"
"信用中国北京-站点身份与导航","信用动态和政策法规分别看什么内容？","应区分信用动态用于查看新闻、公告、要闻和诚信建设动态，政策法规则用于查看法规政策、地方规则和政策解读。"
"信用中国北京-站点身份与导航","信用专题适合查询哪些内容？","应说明信用专题用于查看信用京津冀晋、信用领跑行动、诚信宣传、信用大讲堂等专题内容，具体以站点展示为准。"
"信用中国北京-动态栏目资讯","信用动态页面通常有哪些栏目？","应覆盖北京要闻、全国视野、信用要闻、政策法规、政务诚信建设、信用京津冀晋、诚信宣传等方向，并提示栏目和文章以网站实时展示为准。"
"信用中国北京-动态栏目资讯","北京要闻栏目主要看什么？","应说明北京要闻用于查看北京信用体系建设、平台公告、经营主体发展质量、信用领跑等本地动态，不应编造具体未核验新闻。"
"信用中国北京-动态栏目资讯","全国视野栏目是不是只看北京新闻？","应说明全国视野偏向中央部委、其他地区或全国信用体系相关动态，不仅限北京本地新闻。"
"信用中国北京-动态栏目资讯","信用要闻和通知公告有什么区别？","应说明信用要闻偏新闻动态和重点信息，通知公告偏公开告知、公示、维护通知等事项，具体分类以站点栏目为准。"
"信用中国北京-动态栏目资讯","政务诚信建设栏目能看到哪些内容？","应说明可关注政府诚信建设、政府违约失信投诉、诚信案例和年度重点工作等内容，不应承诺一定存在某篇文章。"
"信用中国北京-动态栏目资讯","诚信宣传相关栏目包括哪些方向？","应说明可涉及专家视角、媒体聚焦、诚信六进、诚信营商等宣传内容，回答应提示来源和时效。"
"信用中国北京-动态栏目资讯","信用京津冀晋栏目主要讲什么？","应说明该栏目关注京津冀晋信用协同、互认和区域联动信息，具体政策和新闻应以站点原文为准。"
"信用中国北京-动态栏目资讯","帮我总结今天最新的信用动态新闻","应避免编造实时新闻，提示需要访问站点最新列表或原文核验；可概括信用动态栏目可查的内容方向。"
"信用中国北京-政策法规解读","政策法规栏目包含哪些类型？","应说明可包含国家法规、北京法规、外省法规、政策解读等类型，并提示政策原文和发布日期以站点为准。"
"信用中国北京-政策法规解读","国家法规和北京法规有什么区别？","应说明国家法规面向全国层面的信用相关制度，北京法规侧重北京市地方规则和配套要求，不应混淆适用范围。"
"信用中国北京-政策法规解读","政策解读能不能替代政策原文？","应说明政策解读用于帮助理解政策，不替代正式政策原文；办理或判断依据应以政策原文和主管部门解释为准。"
"信用中国北京-政策法规解读","信用信息修复管理办法主要讲什么？","应可概括为信用信息修复的条件、程序、材料、主体责任和结果处理等方向，并提示需以有效政策原文为准。"
"信用中国北京-政策法规解读","外省法规在北京办理业务时能直接适用吗？","应说明外省法规可作为参考但不能直接替代北京本地规定，具体办理应以北京市和业务主管部门要求为准。"
"信用中国北京-政策法规解读","某条信用政策是不是已经废止？","应避免无依据判断，提示核对政策原文的发布日期、有效状态、废止说明或主管部门公告。"
"信用中国北京-公共信用报告","自然人公共信用报告怎么查询或下载？","应引导到信用服务中的自然人公共信用报告相关入口，并提示可能需要实名认证、登录和按页面要求操作。"
"信用中国北京-公共信用报告","法人和非法人组织公共信用报告在哪里办理？","应引导到法人和非法人组织公共信用报告服务入口，提示需按主体身份、登录认证和页面材料要求办理。"
"信用中国北京-公共信用报告","公共信用报告可以核验真伪吗？","应说明站点可能提供报告核验或相关查询入口，核验结果应以网站实际页面和报告编号等信息为准。"
"信用中国北京-公共信用报告","公共信用报告里信息有错误怎么办？","应引导使用异议申诉或报告异议相关入口，说明需提交证明材料并等待受理审核。"
"信用中国北京-公共信用报告","我能不能代查别人的公共信用报告？","应拒绝未授权代查，说明涉及个人或主体信息保护，需本人、法定代表人或合法授权后按流程办理。"
"信用中国北京-公共信用报告","公共信用报告能直接当作无违法违规证明吗？","应谨慎说明公共信用报告和专项信用报告用途不同，是否可替代证明应以站点说明、报告类型和办事部门要求为准。"
"信用中国北京-专项信用报告","北京版专项信用报告是什么？","应说明北京版专项信用报告用于特定场景下反映主体有无相关违法违规信息，具体适用范围和字段以站点说明为准。"
"信用中国北京-专项信用报告","京津冀晋互认版专项信用报告有什么特点？","应说明该版本面向京津冀晋区域互认场景，可能用于跨区域办理时减少重复证明，具体互认范围以政策和站点说明为准。"
"信用中国北京-专项信用报告","专项信用报告授权查询怎么做？","应说明授权查询通常需要被查询主体授权、登录认证和按页面流程操作，不能绕过授权查看他人报告。"
"信用中国北京-专项信用报告","专项信用报告怎么核验？","应引导使用站点提供的报告核验入口，依据报告编号、验证码或页面要求核验，不应编造核验结果。"
